batch,accuracy,precision,recall,f1,fpr
0,0.198297241743907,0.031326084417705825,0.097614348984227,0.0474166234388436,0.7758196452072361
0,0.19499814553561198,0.03139340406087118,0.09381967140799627,0.047034419500325886,0.7778612053582671
0,0.1976659739204813,0.028594592338976058,0.08832190621571386,0.04319833244382314,0.7741778303192624
0,0.2042943785880016,0.031814922909233816,0.08738708598271627,0.046639217329024145,0.7624273686626752
0,0.1957998884102235,0.030562300472705948,0.0899327449410861,0.04561853024453635,0.7754008645858446
1,0.19581231881986116,0.03512600599462389,0.0988334037276416,0.05176233034926257,0.7764570266251135
1,0.19519448093305516,0.0374907753682901,0.10583767448304293,0.05534783793042615,0.7789765859044864
1,0.1976999399664935,0.03215177859426805,0.08885564462968938,0.04720917869134238,0.7709287616976148
1,0.18576779446367947,0.03387046054715861,0.09520303192012003,0.04996031354819943,0.7879799773766498
1,0.19559257639729485,0.03700220697501426,0.10901405110404383,0.05522722585031806,0.7804747511208925
2,0.1924084322846322,0.032848167904431305,0.10103834928602817,0.04957316042476015,0.7834716558494162
2,0.18409444281543344,0.023245147573335078,0.0776068604080514,0.03575144907738925,0.7905154149558966
2,0.18692212049523488,0.03096237801181144,0.09670483467337472,0.046903864552257486,0.7895853148708487
2,0.18591862743525375,0.029302949085556213,0.08577994116457752,0.04364077264716249,0.7849784774228428
2,0.19064938453693284,0.026205983052108042,0.08576565218570507,0.04010604236021924,0.7834494388166648
3,0.20711918576217425,0.032620348678960166,0.0955177550007666,0.04862152826013322,0.7627691951293584
3,0.19879455259032489,0.029709249965382142,0.09033528777127789,0.04470188087493237,0.7728063144709683
3,0.2093304070193336,0.030431897297934073,0.08537311493647318,0.044857910562659316,0.7561235185205263
3,0.1985514238854714,0.028505555864290738,0.0887122587198564,0.043142529683061925,0.7733885935583996
3,0.20154352901221514,0.03438252496945499,0.10305890858943728,0.05150047338095913,0.7719759574219073
4,0.19467861224095137,0.027278291755439044,0.0925290026743266,0.042108244868564376,0.7813174537028034
4,0.19946571557038129,0.027242276286181623,0.09755232877675013,0.0425719980568317,0.7776831012921349
4,0.19976956188792216,0.02257060384072461,0.08397751116108668,0.03557259805130073,0.7754488647515936
4,0.19778193891423096,0.023779059904577706,0.091784580165274,0.037723390973291915,0.7805398056768869
4,0.19168415945248468,0.028019485647191096,0.09948735492947632,0.04372034485521037,0.7872629242553029
5,0.20449918167106199,0.026424033746747833,0.074415352949671,0.03899631029974062,0.7595289372048267
5,0.20916924223180228,0.03224381156559285,0.08936883833941954,0.047382679736265775,0.756997642297377
5,0.19603203804126182,0.030045645062949308,0.08494032035929117,0.04436346204377098,0.7724887164786558
5,0.21044476146720373,0.0351965126342379,0.10347294915868342,0.05251112139620709,0.7608766095080228
5,0.1970800564088183,0.02952838300327257,0.08175273582115344,0.04338084720428528,0.7698619093378499
6,0.20446639413269463,0.03202664228698574,0.10066465593346495,0.04858008197478052,0.7692828849952129
6,0.20644497771351378,0.028277966982411383,0.09565003664524083,0.043643965905889676,0.7676756184746735
6,0.19320608585220939,0.02680771167799275,0.08322759170252211,0.040552318990461404,0.7785152854656553
6,0.1978563138536735,0.029107558142254374,0.0962052783595564,0.0446859039895907,0.7775875382248525
6,0.19326502455398503,0.03155652492913594,0.09345644567804273,0.047173973928223846,0.7796793163152574
7,0.18879799417943002,0.027086068117926566,0.08818181046163835,0.04143699370291896,0.785936998782753
7,0.18377354407009686,0.027513371097663088,0.09152672620664433,0.04228881742950945,0.7939049954987678
7,0.18399542755301446,0.027453961583893086,0.0856016514507531,0.04156235674149769,0.7902452401109628
7,0.18975237514344573,0.027370784500336746,0.08813865272524511,0.041766287095817214,0.7847656916708422
7,0.19708476546279796,0.02717249693962691,0.09020423302763705,0.04175738122117869,0.7772423718374248
8,0.20749798453427748,0.031067789883578816,0.10495029180437365,0.04792102444832033,0.7683751168917685
8,0.2064283683447162,0.02494909771170235,0.08261733801095149,0.0383171604314616,0.7644703361185877
8,0.20105680515250232,0.028876275478297048,0.09418220405175601,0.044191815134964986,0.772890962207773
8,0.20932983401638974,0.032892624437384124,0.10190087509124311,0.0496834041178684,0.7633763936498617
8,0.21374881908405438,0.02743629320869829,0.08884135487107296,0.04187753495023345,0.7563344204987733
9,0.1946172380425703,0.02800021694018144,0.08814070989592616,0.042468511860196234,0.7784947440442861
9,0.2072018939511643,0.03044217171254281,0.09880941868868177,0.04650375787498709,0.7662895576809384
9,0.1926389770772679,0.029627748259662932,0.09016397096675374,0.04457089266373838,0.7801775266182819
9,0.19707417205979794,0.03145469981493936,0.0962261576602425,0.047400528108332535,0.7764564570003961
9,0.18075954132597194,0.02955228213626483,0.09369502697749085,0.04489621624771542,0.7967094579071818
