time,episode,action_sum,action_Normal,action_ARP_POISONING,action_MITM_DOS,action_REPLAY,action_DNP3_ENUMERATE,answer_Normal,answer_ARP_POISONING,answer_MITM_DOS,answer_REPLAY,answer_DNP3_ENUMERATE,
2025-01-18T12:43:00.629168,2048,9,0,3,2,2,2,1,1,2,1,4,
2025-01-18T12:43:00.661617,2056,8,1,1,1,1,4,0,4,0,0,4,
2025-01-18T12:43:00.767206,2109,53,19,12,8,6,8,9,13,6,11,14,
2025-01-18T12:43:00.782078,2125,16,2,3,5,3,3,5,3,2,4,2,
2025-01-18T12:43:00.875544,2170,45,10,8,6,8,13,11,5,11,8,10,
2025-01-18T12:43:00.932611,2200,30,8,4,5,2,11,3,5,5,7,10,
2025-01-18T12:43:01.058896,2254,54,7,12,10,12,13,13,6,13,7,15,
2025-01-18T12:43:01.211242,2287,33,6,10,6,5,6,7,6,5,8,7,
2025-01-18T12:43:01.222747,2296,9,0,2,2,3,2,2,2,2,0,3,
2025-01-18T12:43:01.311913,2333,37,5,9,10,6,7,5,7,9,12,4,
2025-01-18T12:43:01.370674,2369,36,10,4,9,5,8,4,10,13,4,5,
2025-01-18T12:43:01.404131,2377,8,1,1,0,1,5,1,3,3,0,1,
2025-01-18T12:43:01.411134,2383,6,2,0,2,0,2,1,2,2,0,1,
2025-01-18T12:43:01.452691,2401,18,4,2,3,3,6,5,3,4,5,1,
2025-01-18T12:43:01.463670,2411,10,3,3,2,0,2,2,3,0,3,2,
2025-01-18T12:43:01.603542,2481,70,15,14,19,10,12,13,12,9,20,16,
2025-01-18T12:43:01.610547,2487,6,1,0,1,2,2,1,0,1,2,2,
2025-01-18T12:43:01.616548,2492,5,1,0,0,3,1,2,1,1,0,1,
2025-01-18T12:43:01.701998,2528,36,7,7,8,5,9,5,7,7,8,9,
2025-01-18T12:43:01.703998,2529,1,0,0,1,0,0,0,0,0,0,1,
2025-01-18T12:43:01.711000,2536,7,0,2,0,2,3,2,1,3,1,0,
2025-01-18T12:43:01.718001,2543,7,1,2,1,0,3,1,2,4,0,0,
