batch,accuracy,precision,recall,f1,fpr
0,0.6798156686164557,0.11863683445385519,1.0,0.21194672246569135,0.33452064546660326
0,0.6759856985637441,0.12636468478557755,1.0,0.22435153005566238,0.3399625262652973
0,0.6740133420048441,0.11911140689601366,1.0,0.2124402948730449,0.34109136424947784
0,0.6903586625340119,0.13557287320205272,1.0,0.23856874504513365,0.3254260959977245
0,0.6797658957452747,0.12243986965413917,1.0,0.21810531859249951,0.3352204828799965
1,0.3152080941775334,0.8727633474143895,0.33041052088995343,0.47931125604181857,1.0
1,0.30093055104348837,0.8851464549398125,0.3133859710119767,0.4624034545165962,0.99
1,0.31602845509006017,0.863289058246718,0.33153547175833453,0.47904503007458865,0.99
1,0.3081292655222628,0.8652829398281419,0.32353785673576746,0.470805488095236,1.0
1,0.32145123201654785,0.884642815114153,0.33550211262998375,0.48645068349169535,1.0
2,0.3221643702455202,0.8923855019074068,0.33517166409452115,0.48729357003442403,1.0
2,0.32261748250259076,0.8924502571070799,0.33572004927378607,0.48782704337341143,1.0
2,0.3207088399394658,0.8883410879808422,0.33409673718179095,0.4855368816804966,1.0
2,0.3193114130436436,0.8766135822871338,0.3343105586949052,0.48395408159483355,0.99
2,0.32116832495078335,0.8716873708542883,0.3370472163969122,0.48603810770614847,1.0
3,0.6803346512377705,0.1376820667481325,1.0,0.24169152108543035,0.33692261901992426
3,0.68147496850252,0.12141295587806039,1.0,0.21650284901374817,0.3332077113800902
3,0.6743710430093658,0.11576203520154087,1.0,0.2074627045081206,0.34011649508491976
3,0.6792536487063171,0.11219442953427189,1.0,0.20161759446486952,0.3343137507098825
3,0.6777632050073135,0.12081682956686715,1.0,0.21546630407926884,0.33713596937864115
4,0.3097066540615888,0.8698563458793214,0.32478434073666107,0.4729189950215681,1.0
4,0.3205928170356539,0.8785585155950306,0.3356185153432654,0.48540697301990426,0.99
4,0.32241297577468087,0.8638057447478035,0.3397028991259182,0.4875279938195915,0.99
4,0.3229337916376783,0.865285972372046,0.3400155553228565,0.48812750706375874,1.0
4,0.3124006460991189,0.873531987540939,0.32726325685785496,0.476022778391787,1.0
5,0.681428590576521,0.1257834956984228,1.0,0.22339653989804786,0.3338587804600872
5,0.6721995437057326,0.1086488039803511,1.0,0.19591279916026763,0.3414187165753348
5,0.6698923609985644,0.10752676422759942,1.0,0.19411038848843964,0.3437575350714363
5,0.6892522761018938,0.12335173367663446,1.0,0.218944760611622,0.3250375641318001
5,0.6843790882510088,0.1138117128898794,1.0,0.20421503108418051,0.3289685117376455
6,0.33039582435852793,0.8716709238998878,0.34725982092926616,0.49660980561838763,1.0
6,0.300369580625456,0.8630964296410168,0.3153765377346145,0.4618749399608805,1.0
6,0.3153988492385823,0.8673077413811953,0.3313559638702623,0.47944788377368674,1.0
6,0.3236870344678555,0.8718513669477378,0.33982201080718083,0.4889863922825973,0.99
6,0.3242890521800834,0.871543885028829,0.3406053889327812,0.48971568360859336,1.0
7,0.3106812057437075,0.8721894290626788,0.32551451602227244,0.4740194353653991,1.0
7,0.3210791245430788,0.8733445879115659,0.336598768892623,0.4858191108966958,0.99
7,0.3117534833579601,0.8616938582774933,0.3281409058375345,0.475263353479377,1.0
7,0.3115809638873336,0.8619433657435721,0.3279570539270262,0.4750182852214082,1.0
7,0.3126585802935819,0.8520270201314291,0.3306145198511121,0.4763647989041363,1.0
8,0.30947841151079364,0.8699308875877948,0.32441377610687305,0.4724568219125798,1.0
8,0.3183575847471092,0.8758925264713381,0.33344181279273144,0.4829535996356432,1.0
8,0.3138286946001483,0.8700922775494755,0.3292839137875705,0.4776845217965458,1.0
8,0.311475243923376,0.8766617636812505,0.3257206305996846,0.47492422641476906,1.0
8,0.3249657897972628,0.8923986119944537,0.33823970559337274,0.49050388589360444,1.0
9,0.32667025104996095,0.8881422048119348,0.3406942295853369,0.4924427909286731,1.0
9,0.3105096668331037,0.860484517088489,0.32691355972324354,0.4737965615341644,1.0
9,0.3130769852592879,0.8792818180818088,0.32748052766553043,0.47635799652123817,0.98
9,0.3145557309696763,0.8597159041810508,0.3318227124915359,0.47828610401633403,1.0
9,0.30976725896500346,0.855808448486454,0.32575855938873227,0.47185276189770603,1.0
