batch,accuracy,precision,recall,f1,fpr
0,0.31433861016132414,0.8661398963992951,0.3302399113621282,0.4780544903330421,0.9983620183780082
0,0.32530956892580504,0.8734901069066706,0.34104055198380684,0.49049092718433696,0.9905756539251535
0,0.3229709764272118,0.869767327020577,0.33921055423495466,0.4880169281188584,0.9794145204126914
0,0.30405757311880177,0.8566505309919547,0.3203129706262447,0.4662415464620564,0.9988364549503324
0,0.3231153988852394,0.8752269173856426,0.33873152624807956,0.4883639053651197,1.0
1,0.3160318611959727,0.8773531298899168,0.330639432995963,0.48025904876912884,1.0
1,0.31555718559912516,0.8826709883093643,0.3294307121688427,0.47970937962934296,1.0
1,0.3216375793355418,0.8694627613923777,0.33797240238884874,0.4866559331194767,1.0
1,0.3134039583351498,0.863577889243589,0.329713686146237,0.4771961284533026,1.0
1,0.32389147260417467,0.8934440187425835,0.3369377678698624,0.4892693561702859,1.0
2,0.3219746240545927,0.8867395855705312,0.3357744505074882,0.48709155949279326,1.0
2,0.3171040249488372,0.877156943101336,0.33181312274805785,0.4814428083081465,1.0
2,0.3079241142758338,0.8684923469957986,0.3219191853049935,0.46970501835751144,0.99
2,0.3168028297854936,0.8681235475037432,0.33468954042572446,0.48107532051389484,1.0
2,0.32048939317527725,0.8728408999706275,0.3361648793620563,0.4853267276642962,1.0
3,0.6891818772856787,0.12952030579396337,1.0,0.229302070113501,0.3259071589019778
3,0.678167767837873,0.12253527797178161,1.0,0.21827741368722486,0.33699717267461826
3,0.6812337415196965,0.12665721490148724,1.0,0.22464162246303146,0.3341930107972987
3,0.6789657672426526,0.1236741451978159,1.0,0.21996651861215213,0.3362806403604883
3,0.6798068037663387,0.14954631785668496,1.0,0.25951403043003723,0.33968688064342145
4,0.6736153270346068,0.1309285683930859,1.0,0.23142724652412722,0.34338452647660844
4,0.6908594177480103,0.13031168508571395,1.0,0.2298793912184362,0.32413634393810087
4,0.681305700440578,0.1356279159982575,1.0,0.2388156054978146,0.33547335053434557
4,0.6763432057485356,0.11583516289553199,1.0,0.2074558284205435,0.3379703200691806
4,0.6815891704634052,0.13238009698569264,1.0,0.23378725544238418,0.3346654235216589
5,0.6886848275884411,0.13620707767635648,1.0,0.23967057278412185,0.32736344604207007
5,0.6902523518429983,0.13395797069055815,0.98,0.23563934623739882,0.3252299753008599
5,0.6869055432317606,0.12500265452868103,1.0,0.22208664641499062,0.3277736810270857
5,0.6697279014035599,0.11209874572766987,0.99,0.20127443759274416,0.3448187568202753
5,0.6934485634392803,0.12492062681657105,1.0,0.22196651316929666,0.3206118798595005
6,0.30566465733460635,0.8716229344304783,0.31998500427004756,0.46791212813842703,1.0
6,0.3239080249026254,0.8762983894737826,0.339389240875792,0.4892244075175587,1.0
6,0.3229956485968114,0.8734212154151512,0.3388578279897999,0.4882473318180465,1.0
6,0.3118215447882641,0.8698956255626257,0.3271077887899116,0.4753845606024646,1.0
6,0.3221447323094179,0.8708074407343819,0.3383087519650562,0.4872325445692533,1.0
7,0.6882079135185891,0.1217623239868745,1.0,0.21706775669534475,0.3258734999904109
7,0.6793400188963251,0.1291128125477776,0.99,0.22835324441543892,0.3363774414508389
7,0.6900185971639945,0.12134274091645697,1.0,0.21632062484241638,0.32381964759909637
7,0.6784053667598577,0.13541324184791606,1.0,0.238478435490674,0.33864260545685737
7,0.6855962795793544,0.13025304634305324,1.0,0.23033560292139066,0.32991517783678886
8,0.6885486195146676,0.1313896132286393,1.0,0.23221736758774683,0.3268611077610193
8,0.681511303478918,0.13596812187883295,1.0,0.2393656380828427,0.33530611893959844
8,0.682123010388476,0.13251312083037606,1.0,0.23396995110109942,0.3340965096569747
8,0.6767951518743864,0.10858040747764859,1.0,0.19582362735336983,0.3364566884866706
8,0.6810669381229181,0.1221901609665462,1.0,0.21748173774886564,0.333882165704808
9,0.3219336904959841,0.8827694059029498,0.33630412920270863,0.48703527198007,1.0
9,0.3208697496153718,0.8831535121418647,0.33509504654550076,0.48568033425601853,1.0
9,0.32927306123794886,0.8949944813356452,0.34249779162514427,0.4953844766675433,1.0
9,0.32129312612156374,0.8883684879122073,0.3348048732631084,0.4863104063209007,1.0
9,0.315776708823842,0.8876546624307902,0.3294421426701182,0.4793696382660028,1.0
